<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ا,20150915,3998.40,3998,3810,3993.60,4011,921000439.00,55,4011
جم-ا,20150916,3913.07,3913,3794,3965.87,3994,1422952884.00,52,3994
جم-ا,20150919,3792.00,4053,3792,3961.60,3966,1435580071.00,49,3966
جم-ا,20150920,3813.33,3813,3797,3957.33,3962,241066702.00,18,3962
جم-ا,20150921,3813.33,3813,3765,3952.00,3957,280184837.00,34,3957
جم-ا,20150922,3828.80,3833,3774,3948.27,3952,300388723.00,25,3952
جم-ا,20150923,3825.60,3826,3766,3934.40,3948,825684886.00,81,3948
جم-ا,20150926,3786.67,3861,3738,3907.20,3934,1369445859.00,55,3934
جم-ا,20150927,3747.20,3813,3747,3906.67,3907,57715647.00,11,3907
جم-ا,20150928,3839.47,3839,3755,3904.00,3907,204417616.00,22,3907
جم-ا,20150929,3750.40,3771,3733,3894.40,3904,573965748.00,44,3904
جم-ا,20150930,3744.53,3782,3713,3888.00,3894,378065660.00,38,3894
جم-ا,20151003,3695.47,3931,3694,3869.33,3888,3605354853.00,107,3888
جم-ا,20151004,3728.53,3893,3676,3862.93,3869,24324230456.00,122,3869
جم-ا,20151005,3877.33,3877,3701,3859.20,3863,484175160.00,26,3863
جم-ا,20151006,3857.07,3858,3749,3857.07,3859,214037282.00,23,3859
جم-ا,20151007,3786.67,3787,3766,3853.87,3857,333426394.00,24,3857
جم-ا,20151010,3804.27,3819,3744,3852.80,3854,99990448.00,16,3854
جم-ا,20151011,3760.00,3792,3759,3820.80,3853,4906252794.00,34,3853
جم-ا,20151012,3791.47,3791,3746,3819.20,3821,280300913.00,29,3821
جم-ا,20151013,3766.93,3770,3755,3817.07,3819,384971674.00,29,3819
جم-ا,20151014,3797.33,3850,3760,3818.13,3817,947852260.00,51,3817
جم-ا,20151017,3857.60,3907,3814,3829.33,3818,1755323952.00,94,3818
جم-ا,20151018,3893.33,4021,3893,3977.07,3829,9258126818.00,151,3829
جم-ا,20151019,3941.33,3947,3861,3973.87,3977,405243030.00,14,3977
جم-ا,20151020,3824.00,3840,3775,3953.07,3974,1216474518.00,46,3974
جم-ا,20151021,3840.00,3890,3794,3952.53,3953,73654672.00,9,3953
جم-ا,20151025,3918.40,3963,3787,3948.80,3953,649405476.00,39,3953
جم-ا,20151026,3933.87,3958,3841,3947.73,3949,670055554.00,30,3949
جم-ا,20151027,3805.33,3942,3804,3943.47,3948,494022546.00,39,3948
جم-ا,20151028,3877.87,3995,3867,3943.47,3943,1670277078.00,63,3943
جم-ا,20151031,3941.33,3973,3879,3944.00,3943,1249896284.00,35,3943
جم-ا,20151101,3957.87,4027,3877,3951.47,3944,2743878790.00,165,3944
جم-ا,20151102,3850.67,4053,3845,3977.07,3951,18448602368.00,200,3951
جم-ا,20151103,4026.67,4053,3981,4003.20,3977,24987074426.00,120,3977
جم-ا,20151104,3979.20,4069,3979,4052.27,4003,16975850811.00,179,4003
جم-ا,20151107,4053.33,4107,4043,4054.93,4052,2006113201.00,102,4052
جم-ا,20151108,4048.00,4133,4048,4092.80,4055,5693784477.00,83,4055
جم-ا,20151109,4132.80,4133,4055,4091.73,4093,684740015.00,32,4093
جم-ا,20151110,4053.33,4144,4053,4112.00,4092,5634587352.00,106,4092
جم-ا,20151111,4112.00,4133,4112,4115.73,4112,2274133906.00,53,4112
جم-ا,20151114,4146.13,4146,4104,4117.33,4116,4782544555.00,30,4116
جم-ا,20151115,4107.73,4128,4106,4116.80,4117,2730032406.00,48,4117
جم-ا,20151116,4105.60,4267,4106,4162.67,4117,4109056729.00,73,4117
جم-ا,20151117,4107.73,4160,4108,4161.60,4163,401707300.00,7,4163
جم-ا,20151118,4165.33,4255,4165,4172.80,4162,2136496187.00,32,4162
جم-ا,20151121,4187.73,4237,4161,4236.27,4173,13179914615.00,99,4173
جم-ا,20151122,4160.00,4252,4133,4193.07,4236,12730688588.00,35,4236
جم-ا,20151123,4160.00,4264,4148,4198.93,4193,3511595977.00,45,4193
جم-ا,20151124,4106.67,4263,4107,4196.80,4199,1324977965.00,43,4199
جم-ا,20151125,4246.93,4267,4176,4209.60,4197,2039337066.00,42,4197
جم-ا,20151128,4110.93,4368,4111,4260.80,4210,6232076511.00,109,4210
جم-ا,20151129,4314.13,4427,4314,4361.07,4261,11755825056.00,156,4261
جم-ا,20151130,4473.07,4473,4363,4383.47,4361,4595615543.00,54,4361
جم-ا,20151201,4384.00,4528,4320,4404.27,4383,4359163682.00,80,4383
جم-ا,20151205,4480.00,4533,4373,4425.60,4404,2360933971.00,59,4404
جم-ا,20151206,4409.60,4480,4410,4426.13,4426,539025136.00,36,4426
جم-ا,20151207,4453.87,4480,4373,4427.73,4426,665939804.00,24,4426
جم-ا,20151208,4426.67,4533,4427,4474.67,4428,6241140268.00,61,4428
جم-ا,20151209,4507.73,4508,4445,4488.00,4475,4632762050.00,28,4475
جم-ا,20151213,4480.00,4507,4349,4488.00,4488,1254181661.00,50,4488
جم-ا,20151214,4527.47,4527,4391,4486.40,4488,185630244.00,17,4488
جم-ا,20151215,4398.93,4453,4399,4483.73,4486,417188732.00,16,4486
جم-ا,20151216,4502.93,4533,4412,4489.60,4484,5625087555.00,52,4484
جم-ا,20151219,4426.67,4485,4427,4477.87,4490,3596609859.00,45,4490
جم-ا,20151220,4385.07,4476,4374,4477.33,4478,106404831.00,14,4478
جم-ا,20151221,4373.87,4453,4374,4477.33,4477,3321554.00,2,4477
جم-ا,20151222,4368.00,4453,4368,4464.53,4477,2852888635.00,42,4477
جم-ا,20151223,4368.00,4437,4272,4446.93,4465,2088906237.00,51,4465
جم-ا,20151226,0,0,0,4446.93,4447,0.00,0,4447
جم-ا,20151227,0,0,0,4446.93,4447,0.00,0,4447
جم-ا,20151228,4267.20,4469,4267,4466.13,4447,9688735652.00,13,4447
جم-ا,20151230,4442.13,4447,4373,4463.47,4466,488450674.00,23,4466
جم-ا,20160102,4373.33,4373,4373,4453.33,4463,1074864200.00,30,4463
جم-ا,20160103,4330.67,4373,4320,4450.67,4453,241212593.00,19,4453
جم-ا,20160104,4422.93,4423,4323,4446.93,4451,454497481.00,37,4451
جم-ا,20160105,4325.33,4384,4323,4445.33,4447,192326680.00,21,4447
جم-ا,20160106,4357.33,4427,4342,4433.60,4445,1589754111.00,71,4445
جم-ا,20160109,4400.53,4432,4363,4432.00,4434,797353307.00,23,4434
جم-ا,20160110,4442.67,4453,4427,4433.07,4432,13541567055.00,36,4432
جم-ا,20160111,4426.67,4427,4385,4432.53,4433,196205860.00,19,4433
جم-ا,20160112,4386.67,4453,4387,4438.93,4433,4970276860.00,60,4433
جم-ا,20160113,4400.00,4564,4400,4475.73,4439,12072604560.00,136,4439
جم-ا,20160116,4687.47,4696,4614,4650.13,4476,23966180504.00,176,4476
جم-ا,20160117,4712.00,4882,4640,4757.87,4650,32400704894.00,296,4650
جم-ا,20160118,4619.20,4907,4619,4775.47,4758,27918622047.00,167,4758
جم-ا,20160119,4906.67,5014,4853,4865.07,4775,5523008648.00,153,4775
جم-ا,20160120,5066.67,5093,4800,4863.47,4865,3759829467.00,89,4865
جم-ا,20160123,4868.80,4869,4773,4849.60,4863,3092786624.00,63,4863
جم-ا,20160124,4848.00,5061,4736,4870.93,4850,4646075142.00,82,4850
جم-ا,20160125,4752.53,4907,4753,4865.60,4871,26208020830.00,176,4871
جم-ا,20160126,4880.00,5061,4866,4986.13,4866,10750388617.00,113,4866
جم-ا,20160127,5065.60,5066,4898,4962.67,4986,50374585279.00,328,4986
جم-ا,20160130,4987.20,5061,4834,4955.20,4963,1096374739.00,46,4963
جم-ا,20160131,4800.00,5024,4800,4981.33,4955,6265439989.00,99,4955
جم-ا,20160201,5029.33,5230,4912,5184.00,4981,62477930145.00,366,4981
جم-ا,20160202,5235.20,5386,5235,5326.93,5184,42180928726.00,468,5184
جم-ا,20160203,5354.13,5408,5070,5352.00,5327,72374723401.00,135,5327
جم-ا,20160206,5360.00,5365,5333,5345.60,5352,5482795725.00,151,5352
جم-ا,20160207,5348.80,5349,5200,5336.53,5346,6674595477.00,211,5346
جم-ا,20160208,5333.33,5403,5307,5346.67,5337,106998229709.00,171,5337
جم-ا,20160209,5333.33,5493,5233,5425.60,5347,92438925566.00,270,5347
جم-ا,20160210,5413.33,5413,5216,5287.47,5426,52760085071.00,315,5426
جم-ا,20160213,5333.33,5551,5287,5384.53,5287,22665073002.00,219,5287
جم-ا,20160214,5386.67,5648,5333,5551.47,5385,26592134128.00,163,5385
جم-ا,20160215,5562.67,5573,5395,5536.53,5551,4478691438.00,87,5551
جم-ا,20160216,5349.87,5525,5350,5508.80,5537,1945551256.00,53,5537
جم-ا,20160217,5350.93,5509,5351,5496.53,5509,13235070047.00,175,5509
جم-ا,20160220,5488.00,5488,5362,5434.13,5497,7396311202.00,139,5497
جم-ا,20160221,5333.87,5696,5334,5541.87,5434,18532000605.00,172,5434
جم-ا,20160222,5336.53,5373,5333,5364.27,5542,43269395597.00,171,5542
جم-ا,20160223,5274.67,5541,5275,5513.07,5364,34544402407.00,221,5364
جم-ا,20160224,5286.40,5440,5285,5453.87,5513,2741717288.00,72,5513
جم-ا,20160227,5333.33,5431,5287,5398.93,5454,4088022954.00,113,5454
جم-ا,20160228,5317.33,5317,5129,5298.67,5399,4313410691.00,177,5399
جم-ا,20160229,5066.67,5332,5067,5293.33,5299,1171958866.00,32,5299
جم-ا,20160301,5133.87,5399,5093,5296.00,5293,42574041284.00,117,5293
جم-ا,20160302,5227.20,5333,5157,5322.13,5296,53510716620.00,45,5296
جم-ا,20160305,5107.20,5309,5057,5286.93,5322,1497534151.00,73,5322
جم-ا,20160306,5173.33,5225,5067,5271.47,5287,820074273.00,53,5287
جم-ا,20160307,5072.53,5333,5008,5206.40,5271,30918740989.00,204,5271
جم-ا,20160308,5073.07,5274,4987,5089.07,5206,6332470925.00,92,5206
جم-ا,20160309,5252.80,5253,4997,5093.33,5089,3309496817.00,100,5089
جم-ا,20160312,5013.33,5013,4949,5043.20,5093,3851906669.00,100,5093
جم-ا,20160314,5076.80,5077,4949,4974.40,5043,49444315302.00,163,5043
جم-ا,20160315,5066.13,5002,4939,4971.20,4974,1184801183.00,38,4974
جم-ا,20160316,4933.33,4989,4897,4960.53,4971,2356381271.00,86,4971
جم-ا,20160326,4960.00,5207,4960,4972.27,4961,824820974.00,34,4961
جم-ا,20160327,5135.47,5135,4998,4972.80,4972,277639230.00,11,4972
جم-ا,20160328,5013.33,5093,4987,4973.87,4973,272786300.00,19,4973
جم-ا,20160329,4997.33,5008,4976,4977.60,4974,1600027160.00,35,4974
جم-ا,20160330,5066.67,5120,4977,4985.60,4978,768550383.00,37,4978
جم-ا,20160402,5066.67,5067,4979,4986.67,4986,546164670.00,37,4986
جم-ا,20160403,4981.33,5120,4978,4982.40,4987,24655651827.00,84,4987
جم-ا,20160404,5120.00,5231,4987,5160.53,4982,15349724583.00,231,4982
جم-ا,20160405,5213.33,5273,5173,5223.47,5161,28009530187.00,118,5161
جم-ا,20160406,5125.33,5221,5097,5212.80,5223,1192040322.00,37,5223
جم-ا,20160409,5104.53,5120,5067,5198.93,5213,1275707256.00,62,5213
جم-ا,20160410,5172.27,5328,5067,5258.67,5199,38888273775.00,95,5199
جم-ا,20160411,5252.80,5253,5067,5256.53,5259,215020909.00,24,5259
جم-ا,20160412,5173.33,5267,5030,5213.33,5257,26778334151.00,92,5257
جم-ا,20160413,5040.00,5253,5040,5245.33,5213,25334071558.00,26,5213
جم-ا,20160416,5037.87,5226,5038,5224.00,5245,1178060755.00,51,5245
جم-ا,20160417,5034.67,5093,5035,5190.93,5224,2013755114.00,44,5224
جم-ا,20160418,5136.00,5173,5040,5176.00,5191,1070083783.00,31,5191
جم-ا,20160419,5042.13,5067,5041,5162.67,5176,959711682.00,42,5176
جم-ا,20160420,5041.07,5093,4962,5141.33,5163,1614287718.00,47,5163
جم-ا,20160423,5050.67,5193,5051,5186.13,5141,26987159339.00,44,5141
